usuario_id,fecha_registro,pais,ciudad,edad,segmento_edad,genero,canal_adquisicion
U00090,2023-07-08,Argentina,Córdoba,26,25-34,Masculino,Orgánico
U00091,2024-07-20,Colombia,Cali,19,18-24,Femenino,Referido
U00092,2023-05-09,Perú,Arequipa,18,18-24,Masculino,Alianza comercial
U00093,2024-04-22,Chile,La Serena,33,25-34,Masculino,Redes sociales
U00094,2024-01-25,México,Ciudad de México,33,25-34,Masculino,Referido
U00095,2024-10-26,Argentina,Mendoza,43,35-44,Masculino,Orgánico
U00096,2025-03-28,Argentina,Mendoza,38,35-44,Masculino,Orgánico
U00097,2024-01-27,Chile,Santiago,45,45-54,Masculino,Orgánico
U00098,2025-04-17,México,Monterrey,34,25-34,Masculino,Orgánico
U00099,2023-08-09,Colombia,Barranquilla,33,25-34,Masculino,Orgánico
U00100,2024-12-20,Perú,Trujillo,41,35-44,Masculino,Redes sociales
U00101,2023-08-12,Chile,Concepción,18,18-24,Masculino,Publicidad digital
U00102,2025-01-09,Chile,La Serena,36,35-44,Masculino,Alianza comercial
U00103,2024-12-08,Chile,Santiago,30,25-34,Masculino,Redes sociales
U00104,2024-08-31,Argentina,Buenos Aires,31,25-34,Femenino,Orgánico
U00105,2025-08-31,Chile,La Serena,46,45-54,Prefiere no indicar,Redes sociales
U00106,2023-11-13,Chile,Concepción,35,35-44,Femenino,Orgánico
U00107,2025-10-12,Chile,Concepción,38,35-44,Masculino,Referido
U00108,2023-06-12,Chile,Santiago,55,55+,Femenino,Publicidad digital
U00109,2023-07-21,México,Ciudad de México,18,18-24,Femenino,Referido
U00110,2024-03-22,España,Valencia,28,25-34,Femenino,Publicidad digital
U00111,2024-09-25,Perú,Lima,28,25-34,Femenino,Orgánico
U00112,2024-05-19,Chile,Valparaíso,19,18-24,Masculino,Publicidad digital
U00113,2024-10-26,Perú,Arequipa,30,25-34,Masculino,Referido
U00114,2025-06-24,Perú,Trujillo,38,35-44,Femenino,Publicidad digital
U00115,2025-06-05,México,Guadalajara,25,25-34,Masculino,Orgánico
U00116,2024-08-13,Chile,La Serena,40,35-44,Masculino,Publicidad digital
U00117,2025-08-15,Colombia,Medellín,33,25-34,Masculino,Orgánico
U00118,2023-08-22,Perú,Cusco,32,25-34,Masculino,Orgánico
U00119,2023-02-10,Chile,La Serena,34,25-34,Femenino,Orgánico
U00120,2025-02-10,México,Guadalajara,19,18-24,Femenino,Publicidad digital
U00121,2024-12-24,España,Madrid,43,35-44,Masculino,Publicidad digital
U00122,2025-01-23,Chile,La Serena,35,35-44,Femenino,Redes sociales
U00123,2024-11-02,Argentina,Mendoza,36,35-44,Femenino,Redes sociales
U00124,2024-08-17,Chile,Concepción,24,18-24,Femenino,Publicidad digital
U00125,2025-06-16,España,Barcelona,59,55+,Masculino,Alianza comercial
U00126,2023-09-06,México,Puebla,34,25-34,Masculino,Referido
U00127,2024-08-12,Chile,Concepción,48,45-54,Masculino,Publicidad digital
U00128,2023-12-24,Chile,La Serena,37,35-44,Femenino,Publicidad digital
U00129,2024-01-13,Chile,Santiago,20,18-24,Masculino,Publicidad digital
U00130,2025-06-21,Colombia,Cali,40,35-44,Femenino,Orgánico
U00131,2025-04-07,Perú,Trujillo,18,18-24,Femenino,Redes sociales
U00132,2024-09-24,México,Monterrey,18,18-24,Masculino,Alianza comercial
U00133,2024-10-29,México,Guadalajara,22,18-24,Masculino,Orgánico
U00134,2023-07-05,España,Madrid,18,18-24,Femenino,Publicidad digital
U00135,2024-06-18,Argentina,Rosario,18,18-24,No binario,Redes sociales
U00136,2024-04-24,Chile,Temuco,28,25-34,Masculino,Referido
U00137,2023-07-08,Chile,Temuco,31,25-34,Masculino,Orgánico
U00138,2023-04-15,México,Guadalajara,25,25-34,Masculino,Publicidad digital
U00139,2025-10-17,Chile,Concepción,42,35-44,Masculino,Redes sociales
U00140,2025-07-25,Chile,Concepción,40,35-44,Masculino,Alianza comercial
U00141,2023-07-07,Chile,La Serena,29,25-34,Femenino,Referido
U00142,2025-06-27,Chile,Valparaíso,18,18-24,Masculino,Alianza comercial
U00143,2023-07-24,Perú,Lima,58,55+,Masculino,Publicidad digital
U00144,2023-10-28,Chile,Temuco,39,35-44,Masculino,Publicidad digital
U00145,2025-07-01,México,Guadalajara,18,18-24,Femenino,Publicidad digital
U00146,2024-09-28,Colombia,Barranquilla,30,25-34,Femenino,Orgánico
U00147,2023-10-02,Chile,Concepción,49,45-54,Femenino,Referido
U00148,2023-02-21,México,Ciudad de México,51,45-54,Femenino,Orgánico
U00149,2023-08-18,México,Monterrey,23,18-24,Masculino,Publicidad digital
U00150,2024-12-04,Colombia,Cali,31,25-34,Femenino,Orgánico
U00151,2025-11-13,Argentina,Mendoza,25,25-34,Masculino,Redes sociales
U00152,2023-12-16,Chile,La Serena,23,18-24,Masculino,Alianza comercial
U00153,2023-05-09,Perú,Lima,50,45-54,Masculino,Redes sociales
U00154,2024-11-09,Chile,Valparaíso,43,35-44,Masculino,Redes sociales
U00155,2024-03-07,México,Monterrey,28,25-34,Masculino,Publicidad digital
U00156,2024-07-10,Perú,Lima,26,25-34,Femenino,Publicidad digital
U00157,2023-05-09,Perú,Lima,53,45-54,Femenino,Orgánico
U00158,2024-09-21,Chile,Concepción,47,45-54,Femenino,Publicidad digital
U00159,2024-06-23,España,Valencia,35,35-44,Masculino,Referido
U00160,2025-03-18,Perú,Cusco,49,45-54,Femenino,Orgánico
U00161,2023-03-24,Chile,Valparaíso,53,45-54,Femenino,Publicidad digital
U00162,2025-09-18,Colombia,Barranquilla,33,25-34,Masculino,Redes sociales
U00163,2025-10-06,México,Guadalajara,32,25-34,Masculino,Orgánico
U00164,2023-08-05,Ecuador,Quito,55,55+,Femenino,Referido
U00165,2023-01-27,México,Guadalajara,43,35-44,Masculino,Referido
U00166,2024-08-25,Chile,Santiago,23,18-24,Femenino,Orgánico
U00167,2023-07-07,Perú,Cusco,38,35-44,Masculino,Orgánico
U00168,2023-01-28,Chile,Concepción,35,35-44,Femenino,Alianza comercial
U00169,2023-05-22,Colombia,Bogotá,32,25-34,Femenino,Orgánico
U00170,2024-09-25,Ecuador,Quito,57,55+,Femenino,Orgánico
U00171,2023-02-23,Colombia,Bogotá,61,55+,Masculino,Orgánico
U00172,2025-08-06,Ecuador,Cuenca,50,45-54,Masculino,Redes sociales
U00173,2023-06-09,México,Puebla,45,45-54,Masculino,Alianza comercial
U00174,2023-11-07,Chile,La Serena,40,35-44,Femenino,Alianza comercial
U00175,2025-04-21,Ecuador,Guayaquil,31,25-34,Masculino,Publicidad digital
U00176,2024-04-08,México,Puebla,35,35-44,Femenino,Referido
U00177,2023-12-27,Chile,La Serena,39,35-44,Masculino,Orgánico
U00178,2025-01-22,España,Sevilla,28,25-34,Femenino,Publicidad digital
U00179,2025-01-07,Chile,La Serena,31,25-34,Masculino,Referido
U00180,2024-07-14,México,Puebla,27,25-34,Femenino,Publicidad digital
U00181,2024-12-08,Perú,Lima,48,45-54,Masculino,Publicidad digital
U00182,2024-04-15,Chile,Temuco,41,35-44,Masculino,Redes sociales
U00183,2024-11-19,México,Ciudad de México,38,35-44,Femenino,Alianza comercial
U00184,2025-01-29,Argentina,Buenos Aires,40,35-44,Masculino,Orgánico
U00185,2025-08-15,Colombia,Cali,38,35-44,Femenino,Referido
U00186,2024-10-27,España,Sevilla,33,25-34,Masculino,Orgánico
U00187,2025-06-02,Chile,Concepción,38,35-44,Masculino,Orgánico
U00188,2023-05-24,Chile,Santiago,19,18-24,Masculino,Orgánico
U00189,2025-07-07,México,Monterrey,37,35-44,Masculino,Orgánico
U00190,2025-04-23,Chile,Valparaíso,42,35-44,Femenino,Orgánico
U00191,2025-07-04,Perú,Cusco,37,35-44,Masculino,Redes sociales
U00192,2025-04-25,Chile,Valparaíso,26,25-34,Femenino,Publicidad digital
U00193,2024-11-12,México,Monterrey,31,25-34,Masculino,Redes sociales
U00194,2024-10-01,Argentina,Rosario,33,25-34,Masculino,Alianza comercial
U00195,2024-12-11,Perú,Cusco,41,35-44,Prefiere no indicar,Referido
U00196,2024-12-18,México,Ciudad de México,23,18-24,Femenino,Publicidad digital
U00197,2024-03-26,Perú,Arequipa,21,18-24,Femenino,Orgánico
U00198,2024-09-13,Chile,La Serena,31,25-34,Femenino,Redes sociales
U00199,2025-03-02,México,Guadalajara,29,25-34,Femenino,Publicidad digital
U00200,2025-10-16,Ecuador,Quito,42,35-44,Femenino,Redes sociales
U00201,2024-03-19,Chile,Concepción,21,18-24,Femenino,Publicidad digital
U00202,2024-02-11,Argentina,Mendoza,19,18-24,Masculino,Redes sociales
U00203,2023-10-09,Colombia,Cali,43,35-44,Femenino,Redes sociales
U00204,2023-01-28,México,Ciudad de México,38,35-44,Masculino,Publicidad digital
U00205,2023-04-22,Chile,Concepción,38,35-44,Femenino,Publicidad digital
U00206,2023-04-17,México,Ciudad de México,55,55+,Femenino,Orgánico
U00207,2025-05-16,Chile,La Serena,29,25-34,Femenino,Orgánico
U00208,2023-10-11,Colombia,Cali,60,55+,Prefiere no indicar,Referido
U00209,2023-07-06,Argentina,Buenos Aires,43,35-44,Femenino,Orgánico
U00210,2023-07-30,España,Sevilla,32,25-34,Femenino,Publicidad digital
U00211,2025-09-24,Chile,Valparaíso,48,45-54,Prefiere no indicar,Referido
U00212,2023-06-22,Chile,Temuco,46,45-54,Femenino,Alianza comercial
U00213,2023-02-20,Colombia,Cali,29,25-34,Masculino,Publicidad digital
U00214,2024-05-03,Chile,Temuco,40,35-44,Masculino,Publicidad digital
U00215,2024-03-15,Colombia,Barranquilla,27,25-34,Prefiere no indicar,Referido
U00216,2023-03-10,México,Monterrey,43,35-44,No binario,Publicidad digital
U00217,2023-10-27,Colombia,Medellín,34,25-34,Masculino,Publicidad digital
U00218,2024-11-12,Argentina,Mendoza,29,25-34,Masculino,Publicidad digital
U00219,2023-09-27,Chile,La Serena,29,25-34,Masculino,Redes sociales
U00220,2024-07-05,México,Puebla,50,45-54,Masculino,Orgánico
U00221,2023-07-20,Perú,Lima,38,35-44,Femenino,Referido
U00222,2023-08-14,Chile,Valparaíso,28,25-34,Masculino,Referido
U00223,2024-04-25,Ecuador,Cuenca,23,18-24,Masculino,Orgánico
U00224,2023-03-18,España,Madrid,28,25-34,Masculino,Publicidad digital
U00225,2023-05-22,Perú,Trujillo,43,35-44,Femenino,Orgánico
U00226,2024-06-21,Chile,La Serena,18,18-24,Masculino,Referido
U00227,2023-04-13,Chile,La Serena,58,55+,Masculino,Orgánico
U00228,2024-03-27,Chile,Temuco,57,55+,Femenino,Publicidad digital
U00229,2023-06-01,Chile,Valparaíso,46,45-54,Masculino,Orgánico
U00230,2023-10-06,Chile,La Serena,37,35-44,Femenino,Publicidad digital
U00231,2023-05-11,Colombia,Cali,23,18-24,Femenino,Redes sociales
U00232,2023-05-16,Chile,La Serena,39,35-44,Masculino,Referido
U00233,2025-02-02,Chile,Santiago,50,45-54,Masculino,Redes sociales
U00234,2023-07-14,Perú,Trujillo,22,18-24,Femenino,Referido
U00235,2024-07-26,Chile,La Serena,18,18-24,Femenino,Orgánico
U00236,2025-09-01,Argentina,Mendoza,47,45-54,Prefiere no indicar,Referido
U00237,2023-11-13,España,Barcelona,27,25-34,Femenino,Referido
U00238,2025-08-23,Colombia,Bogotá,36,35-44,Femenino,Alianza comercial
U00239,2024-05-15,Argentina,Córdoba,47,45-54,Femenino,Orgánico
U00240,2024-09-11,Chile,Concepción,39,35-44,Masculino,Publicidad digital
U00241,2025-11-09,Chile,La Serena,36,35-44,Masculino,Orgánico
U00242,2024-07-19,Perú,Lima,43,35-44,Masculino,Redes sociales
U00243,2024-07-01,Chile,Temuco,40,35-44,Femenino,Publicidad digital
U00244,2025-08-05,Perú,Trujillo,36,35-44,Femenino,Redes sociales
U00245,2024-03-20,Colombia,Cali,24,18-24,Masculino,Publicidad digital
U00246,2024-11-30,Colombia,Bogotá,45,45-54,Femenino,Alianza comercial
U00247,2023-01-04,Chile,Temuco,31,25-34,Masculino,Referido
U00248,2025-04-14,Chile,Temuco,25,25-34,Masculino,Redes sociales
U00249,2025-09-07,México,Monterrey,44,35-44,No binario,Orgánico
U00250,2025-05-17,Chile,Concepción,27,25-34,Femenino,Publicidad digital
U00251,2025-02-10,Argentina,Rosario,51,45-54,Femenino,Publicidad digital
U00252,2024-03-26,México,Guadalajara,43,35-44,Masculino,Orgánico
U00253,2023-06-03,Argentina,Rosario,34,25-34,Masculino,Orgánico
U00254,2025-09-22,México,Guadalajara,67,55+,Femenino,Redes sociales
U00255,2023-11-02,Perú,Arequipa,24,18-24,Masculino,Redes sociales
U00256,2023-02-11,Chile,Valparaíso,38,35-44,Masculino,Redes sociales
U00257,2025-09-05,Chile,Concepción,64,55+,Masculino,Redes sociales
U00258,2023-02-15,Perú,Cusco,27,25-34,No binario,Orgánico
U00259,2024-01-05,Argentina,Córdoba,42,35-44,Femenino,Orgánico
U00260,2023-12-20,Perú,Arequipa,37,35-44,Masculino,Orgánico
U00261,2024-07-06,Argentina,Córdoba,33,25-34,Femenino,Redes sociales
U00262,2025-03-05,Chile,Temuco,61,55+,Masculino,Orgánico
U00263,2024-10-08,Chile,Temuco,18,18-24,Femenino,Referido
U00264,2023-07-09,Chile,La Serena,18,18-24,Femenino,Publicidad digital
U00265,2023-11-15,Perú,Arequipa,23,18-24,Prefiere no indicar,Orgánico
U00266,2023-10-18,Chile,Concepción,18,18-24,Masculino,Alianza comercial
U00267,2025-08-14,México,Monterrey,20,18-24,Femenino,Redes sociales
U00268,2024-07-19,Ecuador,Guayaquil,28,25-34,Masculino,Publicidad digital
U00269,2024-09-21,España,Barcelona,19,18-24,Masculino,Orgánico
U00270,2025-07-26,Perú,Trujillo,22,18-24,Masculino,Orgánico
U00271,2024-10-23,España,Valencia,42,35-44,Masculino,Referido
U00272,2023-05-12,Chile,Temuco,20,18-24,Femenino,Redes sociales
U00273,2024-07-13,España,Madrid,38,35-44,Femenino,Referido
U00274,2024-06-14,Chile,Valparaíso,33,25-34,Femenino,Alianza comercial
U00275,2025-01-01,Chile,Valparaíso,53,45-54,Masculino,Publicidad digital
U00276,2025-03-11,Chile,Valparaíso,29,25-34,Femenino,Referido
U00277,2025-10-29,Chile,Santiago,18,18-24,Femenino,Redes sociales
U00278,2024-05-01,México,Guadalajara,19,18-24,Masculino,Redes sociales
U00279,2025-08-22,Chile,Temuco,48,45-54,Femenino,Publicidad digital
U00280,2023-03-19,España,Valencia,60,55+,Prefiere no indicar,Orgánico
U00281,2025-01-29,Chile,Valparaíso,18,18-24,Masculino,Publicidad digital
U00282,2024-07-27,Chile,Temuco,24,18-24,Masculino,Orgánico
U00283,2025-06-28,Chile,Santiago,32,25-34,Femenino,Orgánico
U00284,2024-01-29,México,Guadalajara,25,25-34,Prefiere no indicar,Alianza comercial
U00285,2023-07-09,Chile,Temuco,35,35-44,Masculino,Orgánico
U00286,2025-10-27,Chile,Concepción,52,45-54,Masculino,Orgánico
U00287,2024-11-05,Chile,Valparaíso,47,45-54,Femenino,Referido
U00288,2025-11-22,México,Ciudad de México,31,25-34,Femenino,Publicidad digital
U00289,2024-02-17,Chile,Temuco,40,35-44,Femenino,Orgánico
U00290,2024-09-24,Chile,La Serena,22,18-24,Masculino,Redes sociales
U00291,2024-02-03,Argentina,Buenos Aires,21,18-24,Femenino,Publicidad digital
U00292,2024-04-12,Perú,Trujillo,44,35-44,Femenino,Referido
U00293,2025-08-07,México,Guadalajara,29,25-34,Masculino,Publicidad digital
U00294,2025-10-13,Chile,Concepción,41,35-44,Prefiere no indicar,Referido
U00295,2023-12-09,Colombia,Barranquilla,27,25-34,Femenino,Orgánico
U00296,2025-09-03,Perú,Lima,33,25-34,Femenino,Referido
U00297,2025-10-14,Perú,Arequipa,43,35-44,Masculino,Orgánico
U00298,2024-04-11,Chile,Santiago,19,18-24,Masculino,Redes sociales
U00299,2025-10-08,Colombia,Bogotá,18,18-24,Femenino,Redes sociales
U00300,2025-03-23,Argentina,Rosario,47,45-54,Femenino,Referido
U00301,2025-01-03,Chile,Temuco,33,25-34,Femenino,Orgánico
U00302,2025-04-17,Argentina,Mendoza,40,35-44,Femenino,Publicidad digital
U00303,2025-02-22,Chile,Temuco,46,45-54,Femenino,Orgánico
U00304,2025-10-12,Chile,Santiago,64,55+,Masculino,Orgánico
U00305,2024-06-29,España,Sevilla,25,25-34,Femenino,Orgánico
U00306,2023-12-02,México,Guadalajara,41,35-44,Femenino,Orgánico
U00307,2025-09-02,México,Monterrey,38,35-44,Femenino,Publicidad digital
U00308,2024-02-03,Perú,Arequipa,31,25-34,Femenino,Redes sociales
U00309,2024-11-04,Perú,Lima,18,18-24,Femenino,Redes sociales
U00310,2023-01-18,Colombia,Medellín,55,55+,Masculino,Redes sociales
U00311,2023-11-25,Argentina,Buenos Aires,25,25-34,Masculino,Referido
U00312,2024-09-27,España,Madrid,21,18-24,Masculino,Publicidad digital
U00313,2025-05-30,Chile,Valparaíso,49,45-54,Masculino,Orgánico
U00314,2023-08-06,Perú,Lima,41,35-44,Femenino,Redes sociales
U00315,2025-10-12,Chile,Temuco,54,45-54,Masculino,Orgánico
U00316,2024-09-14,Argentina,Mendoza,18,18-24,Femenino,Redes sociales
U00317,2025-06-08,México,Guadalajara,27,25-34,Femenino,Publicidad digital
U00318,2024-07-26,Chile,Valparaíso,36,35-44,Femenino,Publicidad digital
U00319,2023-10-21,Chile,Santiago,37,35-44,Femenino,Orgánico
U00320,2024-12-15,México,Guadalajara,29,25-34,Femenino,Redes sociales
U00321,2023-04-11,España,Madrid,30,25-34,Masculino,Orgánico
U00322,2024-02-08,Argentina,Córdoba,44,35-44,Prefiere no indicar,Redes sociales
U00323,2024-10-31,Colombia,Bogotá,27,25-34,Masculino,Referido
U00324,2023-11-17,Colombia,Cali,34,25-34,Masculino,Orgánico
U00325,2024-07-02,Argentina,Mendoza,29,25-34,Masculino,Publicidad digital
U00326,2024-02-19,Chile,Concepción,24,18-24,Femenino,Redes sociales
U00327,2024-12-14,Chile,Temuco,39,35-44,Femenino,Publicidad digital
U00328,2025-09-12,Argentina,Buenos Aires,23,18-24,Femenino,Redes sociales
U00329,2024-04-11,Argentina,Mendoza,44,35-44,Femenino,Publicidad digital
U00330,2023-03-05,México,Guadalajara,51,45-54,Masculino,Alianza comercial
U00331,2023-03-13,Chile,Valparaíso,46,45-54,Femenino,Alianza comercial
U00332,2025-02-02,Perú,Cusco,36,35-44,Masculino,Orgánico
U00333,2025-05-20,Perú,Lima,18,18-24,Masculino,Referido
U00334,2024-07-21,Perú,Lima,40,35-44,Masculino,Publicidad digital
U00335,2025-08-01,Argentina,Rosario,45,45-54,Femenino,Redes sociales
U00336,2023-07-20,Perú,Trujillo,33,25-34,Masculino,Redes sociales
U00337,2025-10-29,Chile,Santiago,18,18-24,Femenino,Orgánico
U00338,2025-10-20,Argentina,Rosario,33,25-34,Masculino,Publicidad digital
U00339,2024-09-13,Chile,Santiago,40,35-44,Femenino,Redes sociales
U00340,2023-07-12,Chile,Concepción,60,55+,Femenino,Redes sociales
U00341,2023-07-09,Colombia,Barranquilla,47,45-54,Masculino,Orgánico
U00342,2025-09-09,Colombia,Cali,41,35-44,Femenino,Orgánico
U00343,2025-07-22,España,Madrid,22,18-24,Femenino,Publicidad digital
U00344,2023-10-09,Perú,Arequipa,25,25-34,Femenino,Orgánico
U00345,2023-07-03,México,Monterrey,31,25-34,Femenino,Orgánico
U00346,2024-11-19,Chile,Concepción,27,25-34,Masculino,Redes sociales
U00347,2024-09-07,México,Monterrey,21,18-24,Femenino,Redes sociales
U00348,2025-07-13,México,Ciudad de México,32,25-34,Femenino,Orgánico
U00349,2023-01-13,México,Ciudad de México,33,25-34,Masculino,Referido
U00350,2024-03-26,España,Madrid,19,18-24,Masculino,Publicidad digital
U00351,2023-10-16,Perú,Lima,49,45-54,Femenino,Redes sociales
U00352,2024-12-25,Perú,Trujillo,30,25-34,Masculino,Publicidad digital
U00353,2023-06-16,México,Monterrey,23,18-24,Femenino,Alianza comercial
U00354,2024-03-26,México,Guadalajara,31,25-34,Femenino,Redes sociales
U00355,2025-08-15,España,Madrid,36,35-44,Masculino,Alianza comercial
U00356,2024-12-31,Perú,Trujillo,42,35-44,Masculino,Alianza comercial
U00357,2025-05-11,Chile,La Serena,36,35-44,Femenino,Orgánico
U00358,2023-07-29,Chile,Santiago,38,35-44,Masculino,Orgánico
U00359,2023-05-02,Chile,Valparaíso,42,35-44,Femenino,Publicidad digital
U00360,2025-08-18,Chile,La Serena,31,25-34,Masculino,Referido
U00361,2025-05-16,Colombia,Medellín,39,35-44,Femenino,Publicidad digital
U00362,2025-05-23,Chile,Santiago,33,25-34,Masculino,Orgánico
U00363,2023-12-23,Colombia,Barranquilla,18,18-24,Masculino,Orgánico
U00364,2024-09-28,Argentina,Mendoza,18,18-24,Femenino,Alianza comercial
