contenido_id,titulo,tipo_contenido,genero_principal,subgenero,clasificacion_edad,anio_estreno,duracion_min,temporadas,episodios,idioma_original,pais_origen,exclusivo,fecha_alta_catalogo
C0053,Instante Bajo 53,Película,Documental,Naturaleza,7+,2011,129,0,1,Coreano,Reino Unido,No,2022-06-23
C0054,Horizonte Imposible 54,Serie,Drama,Social,Todo público,2006,40,4,48,Inglés,México,No,2024-12-09
C0055,Punto Bajo 55,Serie,Comedia,Familiar,13+,2011,40,1,9,Coreano,Argentina,Sí,2025-07-28
C0056,Pulso Rojo 56,Serie,Comedia,Situacional,16+,2022,55,5,30,Inglés,España,Sí,2023-10-14
C0057,Última Oculto 57,Serie,Animación,Comedia,13+,2023,29,1,6,Inglés,Brasil,No,2023-08-29
C0058,Ruta Perdido 58,Serie,Documental,Tecnología,7+,2023,37,2,16,Español,México,No,2024-11-21
C0059,Destino Cero 59,Película,Crimen,Mafia,Todo público,2017,144,0,1,Español,Estados Unidos,No,2025-10-22
C0060,Latido Libre 60,Película,Thriller,Suspenso,18+,2023,129,0,1,Inglés,Estados Unidos,No,2024-10-13
C0061,Pulso Global 61,Serie,Thriller,Misterio,16+,2016,52,5,40,Francés,Chile,No,2024-03-22
C0062,Luz Alto 62,Serie,Romance,Época,13+,2023,35,1,10,Español,Estados Unidos,No,2025-10-22
C0063,Vértigo Profundo 63,Película,Drama,Histórico,13+,2000,100,0,1,Inglés,Chile,Sí,2022-06-26
C0064,Sombras Secreto 64,Película,Documental,Naturaleza,16+,2019,130,0,1,Inglés,Estados Unidos,No,2022-08-29
C0065,Noche Secreto 65,Serie,Acción,Supervivencia,13+,2021,39,4,32,Español,Estados Unidos,No,2025-05-17
C0066,Noche Digital 66,Película,Acción,Espionaje,7+,2025,86,0,1,Español,Estados Unidos,Sí,2023-08-20
C0067,Secreto Bajo 67,Película,Crimen,Judicial,16+,2006,135,0,1,Español,Chile,No,2022-03-06
C0068,Vértigo Humano 68,Película,Aventura,Exploración,7+,2009,101,0,1,Inglés,Estados Unidos,Sí,2023-02-26
C0069,Última Rojo 69,Película,Comedia,Romántica,13+,2000,118,0,1,Inglés,España,No,2025-06-07
C0070,Señal Digital 70,Película,Comedia,Romántica,13+,1998,146,0,1,Español,México,No,2024-11-02
C0071,Tiempo Norte 71,Película,Comedia,Familiar,13+,1999,117,0,1,Portugués,Argentina,No,2022-09-07
C0072,Punto Secreto 72,Serie,Documental,Naturaleza,13+,2015,33,1,12,Español,Chile,No,2023-03-10
C0073,Eco Humano 73,Película,Comedia,Romántica,7+,2000,147,0,1,Coreano,Corea del Sur,No,2023-09-16
C0074,Luz Alto 74,Película,Crimen,Judicial,13+,2002,130,0,1,Inglés,Brasil,No,2022-05-23
C0075,Señal Invisible 75,Documental,Aventura,Supervivencia,13+,2019,92,0,1,Español,Estados Unidos,Sí,2024-11-07
C0076,Archivo Imposible 76,Película,Documental,Historia,13+,2001,82,0,1,Inglés,España,Sí,2022-10-08
C0077,Señal Secreto 77,Documental,Romance,Drama,Todo público,2005,86,0,1,Inglés,Reino Unido,No,2024-08-29
C0078,Latido Perdido 78,Película,Crimen,Investigación,7+,2016,105,0,1,Coreano,Reino Unido,No,2025-08-12
C0079,Última Silencioso 79,Película,Acción,Policial,7+,2002,99,0,1,Inglés,Estados Unidos,Sí,2023-09-27
C0080,Código Final 80,Película,Ciencia ficción,Tecnología,16+,2018,109,0,1,Inglés,México,Sí,2022-04-14
C0081,Marea Secreto 81,Película,Documental,Sociedad,16+,2006,120,0,1,Español,Brasil,No,2025-03-08
C0082,Ruta Infinito 82,Película,Drama,Histórico,16+,2013,103,0,1,Inglés,Estados Unidos,Sí,2022-03-12
C0083,Planeta Infinito 83,Película,Crimen,Judicial,7+,2005,121,0,1,Inglés,España,No,2022-05-24
C0084,Vértigo Nocturno 84,Documental,Documental,Sociedad,7+,2024,100,0,1,Español,España,No,2022-10-04
C0085,Marea Humano 85,Película,Comedia,Situacional,13+,1998,129,0,1,Portugués,Estados Unidos,No,2023-10-27
C0086,Ciudad Digital 86,Serie,Comedia,Situacional,13+,2023,47,4,40,Francés,Estados Unidos,No,2022-11-30
C0087,Horizonte Abierto 87,Película,Thriller,Conspiración,18+,2013,89,0,1,Español,España,No,2023-05-03
C0088,Destino Perdido 88,Película,Aventura,Fantasía,13+,2021,98,0,1,Inglés,Estados Unidos,No,2024-03-18
C0089,Ruta Imposible 89,Película,Documental,Naturaleza,13+,1998,133,0,1,Español,Reino Unido,No,2024-03-30
C0090,Secreto Norte 90,Serie,Aventura,Fantasía,13+,2017,52,3,30,Inglés,Reino Unido,No,2022-12-25
C0091,Ruta Central 91,Película,Comedia,Romántica,13+,2002,92,0,1,Español,Reino Unido,Sí,2022-05-01
C0092,Marea Cero 92,Serie,Animación,Familiar,Todo público,2025,54,4,44,Español,Estados Unidos,No,2023-12-10
C0093,Eco Silencioso 93,Película,Comedia,Sátira,18+,2025,102,0,1,Español,Estados Unidos,No,2025-03-14
C0094,Frontera Central 94,Serie,Romance,Comedia,16+,2001,30,4,24,Coreano,Estados Unidos,No,2022-05-04
C0095,Archivo Azul 95,Serie,Drama,Histórico,7+,2016,40,3,24,Español,Estados Unidos,No,2024-01-12
C0096,Latido Nocturno 96,Película,Acción,Espionaje,16+,2022,150,0,1,Español,Estados Unidos,No,2024-11-20
C0097,Punto Invisible 97,Serie,Comedia,Familiar,Todo público,2014,38,4,24,Inglés,Estados Unidos,Sí,2025-01-28
C0098,Secreto Nocturno 98,Serie,Acción,Artes marciales,18+,2011,30,2,20,Español,Reino Unido,Sí,2025-03-11
C0099,Código Digital 99,Documental,Acción,Policial,16+,2013,104,0,1,Español,Estados Unidos,No,2024-07-17
C0100,Planeta Alto 100,Película,Ciencia ficción,Distopía,Todo público,2024,104,0,1,Español,Estados Unidos,No,2023-03-10
C0101,Código Infinito 101,Serie,Thriller,Psicológico,13+,2002,34,3,30,Portugués,Estados Unidos,Sí,2024-07-03
C0102,Ruta Digital 102,Película,Thriller,Psicológico,18+,2015,86,0,1,Coreano,Estados Unidos,No,2025-07-05
C0103,Ruta Abierto 103,Documental,Drama,Histórico,16+,2016,94,0,1,Inglés,Brasil,No,2022-02-17
C0104,Ruta Bajo 104,Serie,Animación,Comedia,7+,2024,36,2,16,Portugués,México,No,2023-10-24
C0105,Memoria Alto 105,Serie,Drama,Social,13+,2024,37,4,36,Español,México,Sí,2022-09-11
C0106,Luz Cero 106,Documental,Drama,Social,18+,2006,78,0,1,Inglés,Estados Unidos,No,2025-04-01
C0107,Marea Humano 107,Serie,Comedia,Situacional,16+,2017,50,4,24,Inglés,Estados Unidos,No,2025-08-18
C0108,Secreto Silencioso 108,Película,Ciencia ficción,Espacio,16+,2019,120,0,1,Español,México,No,2025-03-31
C0109,Latido Azul 109,Serie,Ciencia ficción,Futuro,Todo público,2017,34,5,55,Español,Estados Unidos,No,2025-04-01
C0110,Punto Final 110,Película,Drama,Social,18+,2021,110,0,1,Inglés,Estados Unidos,No,2022-09-10
C0111,Ruta Global 111,Película,Drama,Histórico,18+,2016,87,0,1,Inglés,Brasil,Sí,2022-01-14
C0112,Tiempo Alto 112,Serie,Comedia,Familiar,16+,2005,42,1,8,Portugués,Estados Unidos,No,2023-06-04
C0113,Secreto Final 113,Serie,Romance,Drama,7+,2022,58,2,14,Español,Estados Unidos,Sí,2023-06-17
C0114,Punto Profundo 114,Película,Crimen,Detectives,16+,2022,114,0,1,Español,Chile,Sí,2025-01-04
C0115,Instante Secreto 115,Película,Crimen,Detectives,18+,2012,107,0,1,Inglés,España,No,2025-07-06
C0116,Destino Invisible 116,Serie,Romance,Época,7+,2012,45,3,33,Francés,Estados Unidos,No,2025-11-06
C0117,Archivo Norte 117,Película,Drama,Juvenil,13+,2018,115,0,1,Inglés,Estados Unidos,No,2022-11-13
C0118,Destino Humano 118,Serie,Crimen,Judicial,Todo público,2018,42,1,7,Inglés,Chile,No,2025-11-04
C0119,Archivo Nocturno 119,Serie,Drama,Juvenil,7+,2017,34,3,36,Español,España,Sí,2023-08-18
C0120,Última Humano 120,Película,Comedia,Sátira,13+,2016,101,0,1,Coreano,España,No,2023-07-20
C0121,Frontera Profundo 121,Serie,Crimen,Judicial,18+,2017,52,3,33,Español,Brasil,No,2022-11-01
C0122,Eco Nocturno 122,Película,Ciencia ficción,Tecnología,13+,2012,105,0,1,Coreano,Estados Unidos,No,2024-08-29
C0123,Vértigo Perdido 123,Serie,Comedia,Sátira,16+,2024,57,1,8,Coreano,Estados Unidos,Sí,2023-08-26
C0124,Ruta Rojo 124,Serie,Documental,Historia,16+,2022,37,2,18,Español,España,Sí,2022-10-26
C0125,Tiempo Invisible 125,Serie,Ciencia ficción,Tecnología,18+,2021,30,5,30,Inglés,Estados Unidos,No,2024-06-04
C0126,Noche Libre 126,Película,Drama,Familiar,7+,2011,132,0,1,Inglés,México,No,2022-04-07
C0127,Última Abierto 127,Documental,Romance,Juvenil,16+,2005,94,0,1,Inglés,Reino Unido,No,2024-03-03
C0128,Latido Azul 128,Serie,Documental,Historia,Todo público,2003,52,1,8,Coreano,Estados Unidos,No,2024-03-01
C0129,Marea Azul 129,Película,Comedia,Situacional,13+,1998,86,0,1,Inglés,Estados Unidos,No,2022-05-21
C0130,Eco Profundo 130,Serie,Crimen,Investigación,Todo público,2012,36,5,30,Español,Estados Unidos,No,2022-04-18
C0131,Planeta Digital 131,Documental,Comedia,Familiar,13+,2008,93,0,1,Español,Estados Unidos,Sí,2025-07-25
C0132,Secreto Bajo 132,Serie,Ciencia ficción,Distopía,7+,2013,53,1,9,Portugués,Estados Unidos,Sí,2025-06-14
C0133,Instante Imposible 133,Serie,Comedia,Situacional,16+,2008,44,4,32,Español,Chile,No,2023-09-29
C0134,Última Rojo 134,Documental,Drama,Social,7+,2011,93,0,1,Español,México,No,2022-08-07
C0135,Vértigo Silencioso 135,Película,Acción,Supervivencia,13+,2006,104,0,1,Español,México,No,2024-05-21
C0136,Latido Alto 136,Película,Aventura,Fantasía,18+,1998,117,0,1,Español,Reino Unido,No,2024-04-29
C0137,Planeta Silencioso 137,Documental,Ciencia ficción,Tecnología,16+,2000,77,0,1,Español,Estados Unidos,Sí,2022-01-10
C0138,Punto Alto 138,Serie,Acción,Espionaje,18+,2016,31,1,7,Español,Estados Unidos,No,2022-03-03
C0139,Luz Norte 139,Documental,Acción,Artes marciales,13+,1998,88,0,1,Coreano,Estados Unidos,Sí,2023-04-02
C0140,Archivo Silencioso 140,Película,Acción,Policial,13+,2015,100,0,1,Español,Estados Unidos,No,2022-09-03
C0141,Tiempo Central 141,Película,Crimen,Judicial,13+,1998,126,0,1,Español,Estados Unidos,No,2025-08-28
C0142,Planeta Invisible 142,Serie,Acción,Espionaje,16+,1999,45,2,22,Inglés,Chile,No,2023-08-14
C0143,Instante Norte 143,Película,Romance,Drama,16+,2024,155,0,1,Inglés,México,Sí,2025-03-10
C0144,Tiempo Central 144,Película,Aventura,Fantasía,Todo público,2014,99,0,1,Inglés,Estados Unidos,Sí,2024-08-31
C0145,Ciudad Libre 145,Serie,Drama,Histórico,13+,2022,47,4,44,Portugués,Brasil,No,2023-11-25
C0146,Latido Secreto 146,Documental,Ciencia ficción,Futuro,13+,2012,54,0,1,Español,Corea del Sur,No,2024-06-24
C0147,Sombras Profundo 147,Documental,Comedia,Sátira,Todo público,2015,99,0,1,Español,México,Sí,2022-02-07
C0148,Código Rojo 148,Serie,Ciencia ficción,Espacio,16+,2019,49,3,18,Inglés,México,No,2022-02-13
C0149,Eco Profundo 149,Película,Thriller,Misterio,13+,2000,102,0,1,Español,Estados Unidos,No,2022-10-30
C0150,Origen Infinito 150,Serie,Romance,Comedia,7+,2005,34,4,28,Inglés,Reino Unido,Sí,2024-11-27
C0151,Instante Abierto 151,Serie,Romance,Época,13+,2014,54,4,36,Francés,España,No,2024-05-12
C0152,Eco Final 152,Película,Ciencia ficción,Distopía,18+,2025,93,0,1,Español,Estados Unidos,No,2022-09-11
C0153,Código Silencioso 153,Serie,Aventura,Exploración,7+,2024,29,3,27,Inglés,Argentina,No,2024-06-02
C0154,Memoria Humano 154,Serie,Acción,Espionaje,Todo público,2022,36,4,48,Inglés,España,Sí,2024-05-27
C0155,Planeta Digital 155,Película,Acción,Policial,16+,1998,139,0,1,Portugués,Estados Unidos,No,2022-02-28
C0156,Señal Imposible 156,Película,Crimen,Mafia,13+,1998,115,0,1,Español,Reino Unido,No,2023-06-28
C0157,Pulso Silencioso 157,Serie,Romance,Drama,16+,2005,52,2,14,Coreano,Reino Unido,No,2022-11-10
C0158,Vértigo Invisible 158,Película,Drama,Familiar,7+,2014,101,0,1,Inglés,México,No,2025-10-24
C0159,Instante Norte 159,Película,Animación,Fantasía,13+,2001,94,0,1,Español,Corea del Sur,No,2024-06-05
C0160,Noche Norte 160,Serie,Crimen,Mafia,13+,2003,38,1,9,Inglés,Estados Unidos,No,2022-04-02
C0161,Luz Abierto 161,Documental,Drama,Familiar,18+,2024,79,0,1,Inglés,Estados Unidos,No,2023-03-19
C0162,Planeta Invisible 162,Documental,Drama,Histórico,16+,2006,52,0,1,Español,Reino Unido,No,2023-07-16
C0163,Tiempo Norte 163,Serie,Animación,Fantasía,13+,2006,53,4,24,Inglés,España,No,2024-09-12
C0164,Archivo Bajo 164,Película,Aventura,Fantasía,16+,2002,98,0,1,Español,Estados Unidos,No,2023-02-18
C0165,Señal Oculto 165,Película,Documental,Historia,13+,2012,153,0,1,Español,España,No,2024-01-22
C0166,Destino Cero 166,Película,Drama,Histórico,18+,2007,82,0,1,Español,Chile,Sí,2024-07-08
C0167,Luz Nocturno 167,Serie,Acción,Espionaje,13+,1999,53,5,45,Inglés,Estados Unidos,No,2024-01-22
C0168,Última Alto 168,Película,Acción,Artes marciales,13+,2005,131,0,1,Inglés,Reino Unido,No,2025-11-10
C0169,Ruta Secreto 169,Serie,Crimen,Detectives,13+,2008,35,2,18,Español,Brasil,Sí,2025-01-10
C0170,Sombras Global 170,Documental,Thriller,Misterio,13+,2003,65,0,1,Español,Estados Unidos,No,2024-06-01
C0171,Marea Digital 171,Película,Ciencia ficción,Espacio,18+,2017,87,0,1,Español,Estados Unidos,Sí,2023-04-28
C0172,Origen Infinito 172,Película,Documental,Historia,18+,2005,84,0,1,Español,Estados Unidos,No,2024-08-13
C0173,Sombras Infinito 173,Película,Animación,Comedia,16+,2007,154,0,1,Español,Corea del Sur,No,2024-07-27
C0174,Archivo Azul 174,Película,Drama,Familiar,13+,2019,123,0,1,Inglés,Reino Unido,No,2022-04-06
C0175,Frontera Oculto 175,Película,Crimen,Judicial,16+,2012,121,0,1,Inglés,México,No,2025-07-30
C0176,Archivo Rojo 176,Película,Ciencia ficción,Futuro,7+,1998,96,0,1,Inglés,Chile,Sí,2023-06-09
C0177,Noche Global 177,Serie,Drama,Social,18+,2005,32,4,40,Inglés,Estados Unidos,No,2025-01-25
C0178,Origen Global 178,Película,Crimen,Mafia,Todo público,2012,96,0,1,Inglés,Reino Unido,No,2023-03-27
C0179,Horizonte Invisible 179,Película,Crimen,Mafia,13+,2004,122,0,1,Español,Estados Unidos,No,2023-03-11
C0180,Instante Global 180,Película,Comedia,Sátira,16+,2021,86,0,1,Español,España,No,2022-01-30
C0181,Eco Alto 181,Película,Drama,Juvenil,16+,2002,106,0,1,Portugués,Estados Unidos,No,2023-01-02
C0182,Vértigo Oculto 182,Documental,Romance,Juvenil,16+,2007,88,0,1,Español,España,No,2023-05-24
C0183,Destino Nocturno 183,Serie,Drama,Familiar,18+,2019,48,5,60,Español,México,Sí,2025-09-28
C0184,Latido Norte 184,Película,Thriller,Suspenso,7+,2021,109,0,1,Portugués,Chile,Sí,2022-02-22
C0185,Origen Profundo 185,Serie,Aventura,Supervivencia,7+,2024,35,3,18,Coreano,Argentina,No,2025-09-03
C0186,Marea Profundo 186,Película,Drama,Social,13+,1999,116,0,1,Español,Estados Unidos,No,2024-02-21
C0187,Marea Libre 187,Serie,Documental,Historia,18+,2010,31,5,60,Inglés,México,No,2024-03-26
C0188,Memoria Central 188,Serie,Thriller,Misterio,13+,2009,33,5,40,Portugués,Estados Unidos,No,2022-06-15
C0189,Origen Global 189,Serie,Drama,Social,7+,1999,32,2,22,Español,Estados Unidos,No,2024-07-29
C0190,Horizonte Global 190,Documental,Documental,Sociedad,16+,2023,69,0,1,Inglés,México,Sí,2023-03-09
C0191,Horizonte Imposible 191,Serie,Thriller,Conspiración,13+,2001,52,1,6,Español,Reino Unido,Sí,2023-06-05
C0192,Ciudad Norte 192,Serie,Acción,Espionaje,16+,2008,57,3,21,Inglés,México,No,2024-11-13
C0193,Sombras Humano 193,Serie,Acción,Artes marciales,16+,1998,33,3,24,Español,Reino Unido,Sí,2023-06-24
C0194,Punto Oculto 194,Documental,Drama,Juvenil,16+,2024,49,0,1,Inglés,Estados Unidos,Sí,2022-11-29
C0195,Ciudad Global 195,Serie,Drama,Histórico,16+,2010,48,3,33,Inglés,México,No,2023-09-07
C0196,Planeta Oculto 196,Película,Drama,Social,16+,2025,87,0,1,Español,España,Sí,2024-07-16
C0197,Eco Digital 197,Serie,Comedia,Romántica,7+,2017,36,4,48,Español,Estados Unidos,Sí,2024-09-10
C0198,Pulso Profundo 198,Película,Comedia,Familiar,13+,2000,151,0,1,Portugués,Estados Unidos,No,2024-05-06
C0199,Sombras Oculto 199,Película,Thriller,Suspenso,13+,2025,82,0,1,Español,Reino Unido,No,2024-05-20
C0200,Marea Secreto 200,Serie,Drama,Social,18+,2020,39,4,36,Español,Reino Unido,No,2023-03-01
C0201,Planeta Norte 201,Documental,Acción,Espionaje,16+,2021,88,0,1,Inglés,Brasil,No,2024-09-10
C0202,Pulso Abierto 202,Documental,Ciencia ficción,Espacio,13+,2012,52,0,1,Español,Estados Unidos,Sí,2025-08-05
C0203,Código Bajo 203,Película,Acción,Supervivencia,13+,2020,84,0,1,Inglés,España,No,2023-03-02
C0204,Pulso Infinito 204,Serie,Drama,Juvenil,Todo público,2024,33,3,27,Español,Corea del Sur,No,2025-07-12
C0205,Eco Libre 205,Película,Romance,Juvenil,16+,2002,120,0,1,Español,Estados Unidos,No,2025-06-16
C0206,Frontera Imposible 206,Serie,Documental,Tecnología,7+,2004,32,1,6,Inglés,Reino Unido,No,2023-04-15
C0207,Latido Alto 207,Serie,Aventura,Exploración,Todo público,2000,53,5,55,Coreano,Brasil,No,2023-08-19
C0208,Punto Global 208,Película,Thriller,Psicológico,Todo público,2024,101,0,1,Español,Brasil,No,2024-02-22
C0209,Noche Profundo 209,Serie,Romance,Juvenil,16+,2014,43,4,24,Inglés,Estados Unidos,Sí,2023-08-04
C0210,Marea Infinito 210,Serie,Animación,Familiar,13+,2003,36,3,18,Español,Brasil,Sí,2023-11-06
C0211,Sombras Bajo 211,Película,Drama,Familiar,18+,2015,94,0,1,Coreano,Estados Unidos,Sí,2022-11-24
C0212,Última Nocturno 212,Serie,Acción,Artes marciales,16+,2010,52,5,50,Español,Reino Unido,Sí,2023-10-24
C0213,Latido Silencioso 213,Película,Animación,Fantasía,13+,2002,89,0,1,Inglés,Argentina,No,2025-07-11
C0214,Origen Alto 214,Serie,Comedia,Familiar,18+,2008,34,5,40,Español,México,No,2024-09-28
C0215,Ruta Final 215,Película,Drama,Social,16+,2015,126,0,1,Coreano,México,No,2025-07-25
C0216,Latido Humano 216,Serie,Animación,Comedia,18+,1998,40,4,36,Inglés,Estados Unidos,No,2023-05-24
C0217,Ciudad Digital 217,Película,Acción,Policial,16+,2001,108,0,1,Español,España,No,2024-02-05
C0218,Secreto Alto 218,Documental,Comedia,Situacional,Todo público,2017,60,0,1,Portugués,Estados Unidos,Sí,2024-07-10
C0219,Ciudad Profundo 219,Serie,Acción,Supervivencia,13+,1999,39,3,36,Inglés,Reino Unido,Sí,2023-09-22
C0220,Señal Digital 220,Serie,Thriller,Conspiración,13+,2006,33,5,55,Español,Argentina,Sí,2025-08-11
C0221,Destino Global 221,Película,Romance,Comedia,13+,2006,119,0,1,Inglés,Reino Unido,Sí,2025-06-22
C0222,Frontera Norte 222,Serie,Documental,Sociedad,Todo público,2010,49,4,48,Español,Estados Unidos,No,2023-05-23
C0223,Instante Nocturno 223,Película,Animación,Familiar,13+,2012,91,0,1,Francés,Brasil,Sí,2024-02-15
C0224,Sombras Rojo 224,Película,Acción,Policial,18+,2009,88,0,1,Inglés,Argentina,No,2025-07-13
C0225,Origen Bajo 225,Película,Ciencia ficción,Tecnología,16+,2005,129,0,1,Español,Brasil,No,2022-03-13
C0226,Sombras Profundo 226,Documental,Thriller,Psicológico,16+,2024,90,0,1,Inglés,Estados Unidos,No,2023-04-13
C0227,Última Nocturno 227,Serie,Drama,Histórico,13+,2010,39,2,18,Español,Estados Unidos,No,2025-05-26
C0228,Origen Digital 228,Serie,Aventura,Supervivencia,Todo público,2016,56,2,16,Inglés,Argentina,No,2022-10-06
C0229,Archivo Digital 229,Película,Aventura,Viaje,Todo público,2009,102,0,1,Español,México,No,2022-04-04
C0230,Vértigo Oculto 230,Película,Drama,Juvenil,13+,2019,131,0,1,Inglés,Argentina,No,2024-04-02
C0231,Código Global 231,Serie,Comedia,Romántica,Todo público,2020,29,4,36,Portugués,España,No,2025-08-28
C0232,Punto Silencioso 232,Serie,Romance,Época,16+,2012,30,3,36,Español,Estados Unidos,Sí,2024-09-06
C0233,Memoria Humano 233,Película,Documental,Naturaleza,16+,2001,142,0,1,Inglés,Estados Unidos,Sí,2022-12-05
